Last_Name	First_Name	Birth_Date	Gender	Address	Employment_Status	Position	Company	Company_Address	Email	User_Name	Password	Course	Batch
ALO	VINCENT	August 7, 1999	Male	Danao, Bohol	Full-time	Electronics Technician	SolidService Electronics Corporation	Mandaue City, Cebu	alovincent@gmail.com	alovincent	vincent123	BS-ELEX	2018-2019
TUMILAP	ARNIEL	December 24, 1999	Male	Balilihan, Bohol	Full-time	Test Technician	Triune Electronic Systems Inc.	Bacolod, Negros Occidental	tumilaparniel@gmail.com	tumilaparniel	arniel123	BS-ELEX	2018-2019
TUMILAP	ARVIN	January 4, 1999	Male	Sikatuna, Bohol	Full-time	Electronics Helper	Tech-Sonic Support Philippines, Inc.	Mandaue City, Cebu	tumilaparvin@gmail.com	tumilaparvin	arvin123	BS-ELEX	2018-2019
TEREC	SECREFE	February 2, 2000	Female	Antequera, Bohol	Full-time	Test/Repair Operator	Acelogic Computer Solutions	Lapu-Lapu City, Cebu	terecsecrefe@gmail.com	terecsecrefe	secrefe123	BS-ELEX	2018-2019
LUMOD	KELVIN	August 7, 1999	Male	Carmen, Bohol	Full-time	Test Technician	SolidService Electronics Corporation	Mandaue City, Cebu	lumodkelvin@gmail.com	lumodkelvin	kelvin123	BS-ELEX	2019-2020
MARQUEZ	KHETZ	December 24, 1999	Male	Sagbayan, Bohol	Full-time	Electronics Helper	Triune Electronic Systems Inc.	Bacolod, Negros Occidental	marquezkhetz@gmail.com	marquezkhetz	khetz123	BS-ELEX	2019-2020
PALIJADO	REMARK	January 4, 1999	Male	Cortes, Bohol	Full-time	Test/Repair Operator	Tech-Sonic Support Philippines, Inc.	Mandaue City, Cebu	palijadoremark@gmail.com	palijadoremark	remark123	BS-ELEX	2019-2020
PASA	MICO	February 2, 2000	Male	Danao, Bohol	Full-time	Test Technician	Acelogic Computer Solutions	Lapu-Lapu City, Cebu	pasamico@gmail.com	pasamico	mico123	BS-ELEX	2019-2020
REGULACION	JOSE JUMAR	November 14, 2000	Male	Balilihan, Bohol	Full-time	Electronics Helper	SolidService Electronics Corporation	Bacolod, Negros Occidental	regulacionjosejumar@gmail.com	regulacionjosejumar	regulacion123	BS-ELEX	2020-2021
TAGUINES	NECO JOHN	December 19, 2000	Male	Sikatuna, Bohol	Full-time	Test/Repair Operator	Triune Electronic Systems Inc.	Mandaue City, Cebu	taguinesnecojohn@gmail.com	taguinesnecojohn	taguines123	BS-ELEX	2020-2021
TANQUILAN	ELMER	August 7, 1999	Male	Antequera, Bohol	Full-time	Test Technician	Tech-Sonic Support Philippines, Inc.	Bacolod, Negros Occidental	tanquilanelmer@gmail.com	tanquilanelmer	elmer123	BS-ELEX	2020-2021
TASIC	DANTE	January 4, 1999	Male	Carmen, Bohol	Full-time	Electronics Helper	Acelogic Computer Solutions	Mandaue City, Cebu	tasicdante@gmail.com	tasicdante	dante123	BS-ELEX	2020-2021
