Last_Name	First_Name	Birth_Date	Gender	Address	Employment_Status	Position	Company	Company_Address	Email	User_Name	Password	Course	Batch
ASUFRA	FERMO JR	September 22, 1999	Male	Sikatuna, Bohol	Full-time	System Developer	Monstar Lab Cebu Inc	Cebu City	asufrafermojr@gmail.com	asufrafermojr	fermojr123	BSIT	2018-2019
DUMADAG	ROLLY	October 12, 2000	Female	Antequera, Bohol	Full-time	Content Creator	ASV Business Solution	Cebu City	dumadagrolly@gmail.com	dumadagrolly	rolly123	BSIT	2018-2019
EDEM	ENRIE JOHN	January 2, 1999	Male	Balilihan, Bohol	Full-time	Digital Marketing	Nadows IT Services	Cebu City	edemenriejohn@gmail.com	edemenriejohn	enriejohn123	BSIT	2018-2019
GARCINES	RUPERTO II	July 5, 1998	Male	Balilihan, Bohol	Full-time	Data Analyst	NEC Telecom Software Philippines	Cebu City	garcinesrupertoii@gmail.com	garcinesrupertoii	rupertoii123	BSIT	2018-2019
GURREA	NICO	July 10, 2000	Male	Catigbian, Bohol	Full-time	Testing QA	Germango Software Services Inc.	Cebu City	gurreanico@gmail.com	gurreanico	nico123	BSIT	2018-2019
IBARRA	JHON KEVIN	August 7, 1999	Male	Catigbian, Bohol	Full-time	Computer Programmer	Jinisys Software Inc.	Cebu City	ibarrajhonkevin@gmail.com	ibarrajhonkevin	jhonkevin123	BSIT	2018-2019
LAMOSTE	JAY NIÑO	December 24, 1999	Male	Catigbian, Bohol	Full-time	Network Engineer	Legal Match Philippines	Cebu City	lamostejayniño@gmail.com	lamostejayniño	jayniño123	BSIT	2018-2019
LARGO	GIOVANNI	January 4, 1999	Male	Balilihan, Bohol	Full-time	System Developer	Exists Software Labs, Inc.	Cebu City	largogiovanni@gmail.com	largogiovanni	giovanni123	BSIT	2018-2019
LEGASPI	DENNIS	January 12, 1998	Male	Antequera, Bohol	Full-time	IT Instructor	Start TechUp Inc	Cebu City	legaspidennis@gmail.com	legaspidennis	dennis123	BSIT	2018-2019
MAGLAJOS	HERBERT	February 18, 2000	Male	Balilihan, Bohol	Part-time	IT Instructor	FastTrack Solutions, Inc.	Cebu City	maglajosherbert@gmail.com	maglajosherbert	herbert123	BSIT	2018-2019
MALINAO	NEIL ABBIE	September 22, 1999	Male	Balilihan, Bohol	Part-time	IT Technician	Monstar Lab Cebu Inc	Cebu City	malinaoneilabbie@gmail.com	malinaoneilabbie	neilabbie123	BSIT	2018-2019
BANATE	BENZENE	October 12, 2000	Male	Sikatuna, Bohol	Part-time	Support Specialist	1902 Software Development Corporation	Cebu City	banatebenzene@gmail.com	banatebenzene	benzene123	BSIT	2018-2019
ONOD	JOHN LOU	January 2, 1999	Male	Catigbian, Bohol	Full-time	Website Developer	Cognizant Technology	Taguig	onodjohnlou@gmail.com	onodjohnlou	johnlou123	BSIT	2018-2019
PEQUIT	JOSEPH	July 5, 1998	Male	AntequeraBohol	Full-time	System Analyst	iRipple, Inc. Philippines	Baguio	pequitjoseph@gmail.com	pequitjoseph	joseph123	BSIT	2018-2019
PONOLLERA	REYGIE	July 10, 2000	Male	Balilihan, Bohol	Full-time	System Analyst	Alliance Software Incorporated	Cebu City	ponollerareygie@gmail.com	ponollerareygie	reygie123	BSIT	2018-2019
RACHO	BRIAN BRANDO	August 7, 1999	Male	Balilihan, Bohol	Full-time	Junior IT	ASV Business Solution	Cebu City	rachobrianbrando@gmail.com	rachobrianbrando	brianbrando123	BSIT	2018-2019
SILAGAN	JON ALBERT	December 24, 1999	Male	Catigbian, Bohol	Full-time	System Developer	Nadows IT Services	Cebu City	silaganjonalbert@gmail.com	silaganjonalbert	jonalbert123	BSIT	2018-2019
